dijkstra;floyd_warshall;ford_bellman;Edges
9472.133333333333;11255.733333333334;1858.8666666666666;45
103425.66666666667;1952595.0;1314562.0;1770
257086.66666666666;11474398.0;8773405.2;5995
498837.4;33120866.4;6389789.533333333;12720
801823.4666666667;73121934.06666666;54226690.4;21945
1116150.7333333334;137694464.26666668;103924163.53333333;33670
1503920.0666666667;230829372.86666667;180611216.73333332;47895
1868486.7333333334;360847254.2;278715457.93333334;64620
2524243.2666666666;534249428.6;423074262.1333333;83845
2866119.7333333334;761845900.2;616997765.4666667;105570
3407322.8666666667;1039171295.4666667;183907091.0;129795
4204414.0;1382359725.4666667;246090863.46666667;156520
4794951.733333333;1776085213.4666667;1435277710.0;185745
5549811.866666666;2274473124.4666667;406405660.6666667;217470
6937314.066666666;2913048306.733333;532787269.2;251695
7446849.666666667;3617558235.733333;2997018801.6666665;288420
8191304.8;4272154486.2;3557660128.4;327645
9490826.866666667;5251718677.333333;4218688581.0;369370
10168234.133333333;6106221280.266666;1114385609.9333334;413595
12469092.933333334;7204893273.8;1302754816.1333334;460320
12453942.933333334;8417291626.8;6890764284.266666;509545
