Complete Graph;Medium-density Graph;Spanning Tree;Complete Graph Edges;Medium-density Graph Edges;Spanning Tree Edges
25486.0;16893.0;8861.0;50;20;9
257806.0;114062.0;38737.0;1800;853;59
363443.0;772072.0;146452.0;6050;2490;109
1012003.0;724962.0;116219.0;12800;6327;159
1277034.0;1099389.0;134604.0;22050;8883;209
2421904.0;1537937.0;209591.0;33800;15291;259
2187857.0;1654391.0;171120.0;48050;21748;309
8896225.0;2466818.0;230554.0;64800;28070;359
4644233.0;4711611.0;372556.0;84050;41238;409
3765468.0;3090374.0;302025.0;105800;52275;459
4758924.0;2805038.0;330404.0;130050;64627;509
8161323.0;3195098.0;755413.0;156800;76883;559
6713125.0;3489243.0;376783.0;186050;79504;609
9024307.0;4777779.0;395958.0;217800;104991;659
14697908.0;8892217.0;468017.0;252050;124873;709
19456425.0;6453391.0;545633.0;288800;128555;759
10897253.0;7721027.0;933944.0;328050;148052;809
12681881.0;6275560.0;999348.0;369800;148101;859
15804091.0;8233495.0;591909.0;414050;204489;909
19734216.0;7216001.0;650434.0;460800;185722;959
30683328.0;8938018.0;1231018.0;510050;214501;1009
