Complete Graph;Medium-density Graph;Spanning Tree;Complete Graph Edges;Medium-density Graph Edges;Spanning Tree Edges
11255.733333333334;11663.8;10742.133333333333;45;21;9
1952595.0;2061126.8;1858690.5333333334;1770;849;59
11474398.0;11654879.266666668;10987915.133333333;5995;2400;109
33120866.4;34384824.86666667;32629225.0;12720;6209;159
73121934.06666666;73663197.0;73773175.66666667;21945;9492;209
137694464.26666668;138190934.53333333;135216805.53333333;33670;16666;259
230829372.86666667;243235810.86666667;230996680.8;47895;20899;309
360847254.2;363415476.8666667;358110099.26666665;64620;27330;359
534249428.6;547807696.0;531457055.8;83845;39181;409
761845900.2;790243793.6666666;757187365.4666667;105570;46801;459
1039171295.4666667;1045611846.0;1030518345.2666667;129795;63694;509
1382359725.4666667;1397078970.9333334;1372243569.2666667;156520;68971;559
1776085213.4666667;1805303643.0666666;1775814386.6666667;185745;84101;609
2274473124.4666667;2289758927.133333;2252912487.866667;217470;103276;659
2913048306.733333;2871346954.6666665;2844525073.3333335;251695;120990;709
3617558235.733333;3535023485.8;3503276573.8;288420;139456;759
4272154486.2;4330444960.8;4270399946.0666666;327645;150308;809
5251718677.333333;5168944033.666667;5117181925.733334;369370;152329;859
6106221280.266666;6134633225.066667;6087564495.533334;413595;173535;909
7204893273.8;7243461210.733334;7175810511.2;460320;211248;959
8417291626.8;8413008316.733334;8381297590.866667;509545;228278;1009
