Complete Graph;Medium-density Graph;Spanning Tree;Complete Graph Edges;Medium-density Graph Edges;Spanning Tree Edges
37155.0;4058.0;2293.0;50;20;9
447131.0;1041198.0;17025.0;1800;853;59
5882164.0;2456666.0;195340.0;6050;2490;109
44561992.0;4396304.0;92673.0;12800;6327;159
100153676.0;7239618.0;2955272.0;22050;8883;209
171714320.0;84694587.0;284295.0;33800;15291;259
103226677.0;32736688.0;2822298.0;48050;21748;309
140554127.0;230490399.0;546599.0;64800;28070;359
175997445.0;402243684.0;2947522.0;84050;41238;409
1195641610.0;626084743.0;954367.0;105800;52275;459
1609375698.0;711522925.0;1460810.0;130050;64627;509
2411583323.0;939808138.0;1121351.0;156800;76883;559
506962308.0;1113610589.0;2051422.0;186050;79504;609
3609205842.0;434558999.0;9457623.0;217800;104991;659
4210052053.0;532272491.0;3629943.0;252050;124873;709
1580321584.0;570743747.0;2066409.0;288800;128555;759
6718900162.0;2788347485.0;3832129.0;328050;148052;809
7381313682.0;2920843193.0;17065516.0;369800;148101;859
1864356184.0;843534949.0;3644119.0;414050;204489;909
10767360651.0;1010918139.0;4837212.0;460800;185722;959
11800945160.0;1015974965.0;17936727.0;510050;214501;1009
