dijkstra;floyd_warshall;ford_bellman;Edges
6411.6;11663.8;1189.9333333333334;21
90851.4;2061126.8;149745.0;849
185239.73333333334;11654879.266666668;3314844.2;2400
355516.86666666664;34384824.86666667;12121453.6;6209
504338.6666666667;73663197.0;24493796.466666665;9492
728978.4;138190934.53333333;51697507.2;16666
878496.3333333334;243235810.86666667;76430612.06666666;20899
1076375.2;363415476.8666667;116143621.33333333;27330
1398089.0666666667;547807696.0;191072598.73333332;39181
1863142.1333333333;790243793.6666666;278889747.1333333;46801
2186789.0;1045611846.0;401119916.8666667;63694
2317298.0;1397078970.9333334;106244072.2;68971
2764644.933333333;1805303643.0666666;146473011.2;84101
3442989.1333333333;2289758927.133333;190474221.53333333;103276
3819756.066666667;2871346954.6666665;1087533280.2666667;120990
4223580.866666666;3535023485.8;308332147.6666667;139456
4534100.0;4330444960.8;1600852639.2;150308
4701463.666666667;5168944033.666667;372148370.73333335;152329
5743889.466666667;6134633225.066667;2066798190.3333333;173535
6436725.6;7243461210.733334;581178631.0;211248
6449772.933333334;8413008316.733334;3057158009.4666667;228278
