dijkstra;floyd_warshall;ford_bellman;Edges
5140.866666666667;10742.133333333333;1768.9333333333334;9
24431.066666666666;1858690.5333333334;49106.26666666667;59
51166.8;10987915.133333333;37050.333333333336;109
71645.73333333334;32629225.0;77752.06666666667;159
100689.46666666666;73773175.66666667;132541.26666666666;209
112584.53333333334;135216805.53333333;208131.13333333333;259
144312.86666666667;230996680.8;286635.5333333333;309
172998.46666666667;358110099.26666665;383852.73333333334;359
213935.66666666666;531457055.8;497221.4;409
209037.06666666668;757187365.4666667;2815219.0;459
235009.26666666666;1030518345.2666667;754856.2666666667;509
279691.0;1372243569.2666667;906034.9333333333;559
300322.6;1775814386.6666667;1064593.9333333333;609
315944.0;2252912487.866667;5074066.0;659
338362.4666666667;2844525073.3333335;1394900.4666666666;709
361500.6666666667;3503276573.8;1610301.4;759
415394.5333333333;4270399946.0666666;7639469.333333333;809
440096.3333333333;5117181925.733334;2160276.4;859
428529.6;6087564495.533334;2260291.466666667;909
474780.13333333336;7175810511.2;2506994.933333333;959
506777.6;8381297590.866667;2767431.2;1009
